final_rank,content_id,client_id,final_refresh_score,best_model_name,best_model_probability,baseline_refresh_score,confidence,suggested_action,final_reason_codes,is_declining_label,impressions_90d,clicks_90d,sessions_90d,avg_position,ctr,content_age_days,days_since_last_update,word_count,trend_direction,competition_level,content_type,main_intent,age_tier,freshness_tier,word_count_tier,impression_tier,position_tier
356,content_7d5ad3f9feee,client_19581e27de,75.58452521725799,random_forest,0.7619536092113732,0.7000349136904762,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1916,0,6,2.7,0.0,148,104,0.0,down,LOW,keyword article,commercial,91-180,91-180,unknown,moderate,top_3
357,content_def925a85437,client_6208ef0f77,75.57999307603482,random_forest,0.7416387565615402,0.7441303077380952,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,4425,4,49,5.2,0.09,148,104,5886.0,down,LOW,keyword article,informational,91-180,91-180,3500+,good,page_1
358,content_bb499af42eb7,client_3fdba35f04,75.57720433302879,random_forest,0.8274663987434284,0.5571505410714286,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,1497,0,13,37.4,0.0,165,104,1467.0,down,MEDIUM,keyword article,transactional,91-180,91-180,1000-2000,moderate,page_3_5
359,content_9a6a8e5ee661,client_7f2253d7e2,75.57143509427783,random_forest,0.8248968944531319,0.5625662684642858,medium,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,7175,6,8,22.4,0.08,132,20,4099.0,down,LOW,keyword article,commercial,91-180,0-30,3500+,good,page_3_5
360,content_dc07a16ea110,client_6208ef0f77,75.56075621532487,random_forest,0.7419096533105923,0.7429420051553288,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,24620,5,81,28.0,0.02,153,104,6254.0,down,LOW,keyword article,informational,91-180,91-180,3500+,good,page_3_5
361,content_c6a809f62445,client_3fdba35f04,75.53400069985786,random_forest,0.7559969365885766,0.7114340977142858,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,2376,12,62,3.8,0.51,148,104,1470.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,moderate,page_1
362,content_d0e81e632d6f,client_3fdba35f04,75.53244789589147,random_forest,0.8232845978805626,0.564864304778628,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,1076,1,38,25.8,0.09,144,104,1458.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,moderate,page_3_5
363,content_8330b826f55b,client_3fdba35f04,75.52894941549853,random_forest,0.7304977169150899,0.766802502420068,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,24808,6,166,16.5,0.02,165,26,2660.0,down,LOW,keyword article,informational,91-180,0-30,2000-3500,good,striking
364,content_9125007c00e3,client_6208ef0f77,75.52181437461198,random_forest,0.758960000114311,0.7046028236122448,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,2977,1,295,6.5,0.03,139,104,5808.0,down,LOW,keyword article,informational,91-180,91-180,3500+,moderate,page_1
365,content_4302c4925c0f,client_3fdba35f04,75.51168276787945,random_forest,0.769092170173578,0.6822244599047619,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2998,3,8,18.7,0.1,333,104,1388.0,down,LOW,keyword article,informational,181-365,91-180,1000-2000,moderate,striking
366,content_98aa0aecb1d9,client_8527a891e2,75.499790336173,random_forest,0.7226550072636536,0.7829732346842404,high,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,5190,3,11,5.1,0.06,275,104,1422.0,down,LOW,keyword article,informational,181-365,91-180,1000-2000,good,page_1
367,content_8b9730806650,client_6208ef0f77,75.49946108267056,random_forest,0.7477371366310578,0.728345684138322,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,10222,6,28,23.5,0.06,148,104,5395.0,down,LOW,keyword article,informational,91-180,91-180,3500+,good,page_3_5
368,content_7a21f1aac586,client_7f2253d7e2,75.49332240478772,random_forest,0.8005468403905198,0.6131595485459185,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,13636,9,24,19.4,0.07,224,20,4159.0,down,LOW,keyword article,informational,181-365,0-30,3500+,good,striking
369,content_30974e37f072,client_7f2253d7e2,75.48871073312212,random_forest,0.7645328542797268,0.6914379397857143,high,refresh_and_review_engagement,declining_with_demand|page_one_decay_risk|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,17240,202,179,5.2,1.17,224,20,4030.0,down,LOW,keyword article,informational,181-365,0-30,3500+,good,page_1
370,content_49d6a61f2145,client_7f2253d7e2,75.48485656665947,random_forest,0.7673255411500617,0.6852368617142857,high,refresh_and_review_ctr,page_one_decay_risk|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,0,17705,84,81,6.6,0.47,224,20,4282.0,stable,LOW,keyword article,informational,181-365,0-30,3500+,good,page_1
371,content_a27eb2ede5e6,client_6208ef0f77,75.48122427826004,random_forest,0.7600935470279633,0.7008718169149659,high,refresh_and_review_ctr,low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,0,2482,3,14,2.0,0.12,139,104,6898.0,stable,LOW,keyword article,transactional,91-180,91-180,3500+,moderate,top_3
372,content_ae758b67a3ee,client_6208ef0f77,75.47991016903993,random_forest,0.7294609462498929,0.7675346127210885,high,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,5517,2,113,4.0,0.04,286,104,6248.0,down,LOW,keyword article,informational,181-365,91-180,3500+,good,page_1
373,content_e06389cec5c1,client_19581e27de,75.47872490773555,random_forest,0.6933926305383912,0.8460378965034013,high,refresh_and_review_ctr,low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,0,19572,2,11,7.0,0.01,139,104,3222.0,up,LOW,keyword article,commercial,91-180,91-180,2000-3500,good,page_1
374,content_cbd35a3c45b2,client_7f2253d7e2,75.46262841950643,random_forest,0.7960036798404864,0.6220976374489796,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,21239,17,21,21.9,0.08,224,20,3762.0,down,LOW,keyword article,informational,181-365,0-30,3500+,good,page_3_5
375,content_03e34dd3ecd2,client_3fdba35f04,75.44072876682193,random_forest,0.7922846817412491,0.6295146521190476,medium,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,3074,1,9,32.9,0.03,174,104,1607.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,good,page_3_5
376,content_a8680d500da8,client_7f2253d7e2,75.4406545892308,random_forest,0.7610198223136563,0.6975927870408163,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1710,1,3,9.7,0.06,106,106,2564.0,down,LOW,keyword article,informational,91-180,91-180,2000-3500,moderate,page_1
377,content_3c5020578d4f,client_19581e27de,75.43746267099067,random_forest,0.6893717991639784,0.8535098394387756,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,21898,6,18,9.0,0.03,139,104,2591.0,down,LOW,keyword article,commercial,91-180,91-180,2000-3500,good,page_1
378,content_034f7f73eae1,client_19581e27de,75.4334382749406,random_forest,0.7286996079231618,0.7677468228537415,high,refresh_and_review_ctr,low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,0,6209,7,13,6.9,0.11,139,104,4618.0,stable,LOW,keyword article,informational,91-180,91-180,3500+,good,page_1
379,content_ed7eedcedbbe,client_3fdba35f04,75.42653295983298,random_forest,0.8050878397968029,0.6011936806848073,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,2228,2,17,34.2,0.09,333,104,1300.0,down,LOW,keyword article,informational,181-365,91-180,1000-2000,moderate,page_3_5
380,content_70885a0c5913,client_7f2253d7e2,75.41676782609088,random_forest,0.796554329030983,0.6194719601003401,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,10490,27,35,15.5,0.26,141,20,3550.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,striking
381,content_92c274459342,client_7f2253d7e2,75.40448439029575,random_forest,0.7162835659125433,0.793882546607143,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,14099,63,84,26.0,0.45,106,106,2774.0,down,LOW,keyword article,commercial,91-180,91-180,2000-3500,good,page_3_5
382,content_afa114dc512c,client_f369cb89fc,75.40049987385264,random_forest,0.7658378114771469,0.6858523083304988,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,10277,6,7,2.2,0.06,97,20,2873.0,down,LOW,keyword article,informational,91-180,0-30,2000-3500,good,top_3
383,content_dda54794e201,client_3fdba35f04,75.39747389444827,random_forest,0.7998058960148294,0.6117913572828797,medium,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,1903,0,4,27.0,0.0,310,104,1391.0,down,MEDIUM,keyword article,informational,181-365,91-180,1000-2000,moderate,page_3_5
384,content_007238e62b42,client_7f2253d7e2,75.39705996601484,random_forest,0.8313649834351223,0.5430573456564626,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,6006,97,81,24.0,1.62,141,20,3983.0,down,LOW,keyword article,commercial,91-180,0-30,3500+,good,page_3_5
385,content_3e5673c16aa7,client_7f2253d7e2,75.39411729675129,random_forest,0.7939439383753912,0.6244515810782314,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,26267,98,106,23.5,0.37,224,20,3292.0,down,LOW,keyword article,informational,181-365,0-30,2000-3500,good,page_3_5
386,content_c2d929d83eaa,client_7f2253d7e2,75.39343640713425,random_forest,0.7218166815904112,0.7814902955952382,high,refresh_and_review_ctr,stale_visible_page|declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,7558,15,25,17.9,0.2,231,193,4758.0,down,LOW,keyword article,informational,181-365,181+,3500+,good,striking
387,content_8d8257690562,client_19581e27de,75.38292863290769,random_forest,0.738518090377379,0.7447954584013605,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,4248,6,17,5.3,0.14,139,104,3854.0,down,LOW,keyword article,informational,91-180,91-180,3500+,good,page_1
388,content_deed6811cf16,client_3fdba35f04,75.38126058139608,random_forest,0.8145386717212857,0.5792058087063491,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,863,1,14,13.8,0.12,165,104,1217.0,down,MEDIUM,keyword article,informational,91-180,91-180,1000-2000,moderate,striking
389,content_d4cff59233bb,client_6208ef0f77,75.38112482630177,random_forest,0.7658451723535312,0.6852335666439909,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,5264,3,67,23.6,0.06,151,104,5157.0,down,LOW,keyword article,informational,91-180,91-180,3500+,good,page_3_5
390,content_b331a2c7719d,client_6208ef0f77,75.37295417858796,random_forest,0.7450321183250016,0.7303006279365079,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,5132,0,73,11.5,0.0,139,104,6515.0,down,LOW,keyword article,commercial,91-180,91-180,3500+,good,striking
391,content_cbb8511c4820,client_6208ef0f77,75.35878464600539,random_forest,0.7603362899016696,0.6965344200221087,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,3451,2,9,11.9,0.06,148,104,6281.0,down,LOW,keyword article,informational,91-180,91-180,3500+,good,striking
392,content_c94b7442fc49,client_19581e27de,75.35248445063061,random_forest,0.7266983633200177,0.7695863235204082,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,5763,8,18,5.3,0.14,139,104,4043.0,down,LOW,keyword article,informational,91-180,91-180,3500+,good,page_1
393,content_1e446b05f1c5,client_3fdba35f04,75.35138365675792,random_forest,0.8482060788707616,0.5049643232709751,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,685,0,46,34.0,0.0,165,104,1353.0,down,MEDIUM,keyword article,informational,91-180,91-180,1000-2000,moderate,page_3_5
394,content_4059689bfb3f,client_3fdba35f04,75.35134444686122,random_forest,0.8267293274830494,0.5517295615680272,high,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,541,0,33,6.0,0.0,284,104,1430.0,down,HIGH,keyword article,transactional,181-365,91-180,1000-2000,moderate,page_1
395,content_53854b72b1cf,client_6208ef0f77,75.33915109184387,random_forest,0.7848524748806571,0.6425387229829932,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1661,0,10,7.9,0.0,151,104,5141.0,down,LOW,keyword article,informational,91-180,91-180,3500+,moderate,page_1
396,content_1039ea0b68dd,client_7f2253d7e2,75.33567283097294,random_forest,0.7518392793568719,0.7143180342857144,high,refresh_and_review_engagement,declining_with_demand|page_one_decay_risk|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,31322,242,191,5.0,0.77,224,20,4496.0,down,LOW,keyword article,informational,181-365,0-30,3500+,excellent,page_1
397,content_991210e426c4,client_7f2253d7e2,75.32923371482403,random_forest,0.8266921968941666,0.5511226009285715,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,23850,18,22,37.3,0.08,141,20,3819.0,down,LOW,keyword article,commercial,91-180,0-30,3500+,good,page_3_5
398,content_0fedc79a92f8,client_6208ef0f77,75.31597519025892,random_forest,0.7528848806034651,0.7114284488477891,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,8063,5,38,24.6,0.06,148,104,4513.0,down,LOW,keyword article,informational,91-180,91-180,3500+,good,page_3_5
399,content_c682e088f44f,client_3fdba35f04,75.31491671087144,random_forest,0.7640932172407815,0.6869889348214285,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,2784,12,52,15.0,0.43,284,104,1543.0,down,MEDIUM,keyword article,commercial,181-365,91-180,1000-2000,moderate,striking
400,content_701f7861d94a,client_7f2253d7e2,75.3139251714632,random_forest,0.7307842918949787,0.7594895654421769,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2971,5,5,8.5,0.17,106,106,2423.0,down,LOW,keyword article,informational,91-180,91-180,2000-3500,moderate,page_1
401,content_c89ccc2975d4,client_6208ef0f77,75.30921076874503,random_forest,0.7698057577090238,0.6743721579682538,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2614,1,11,11.0,0.04,139,104,6399.0,down,LOW,keyword article,commercial,91-180,91-180,3500+,moderate,striking
402,content_c4d56710ca6c,client_6208ef0f77,75.29195021672804,random_forest,0.7177561908402381,0.7871751699030611,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,19032,7,62,16.7,0.04,286,104,6887.0,down,LOW,keyword article,informational,181-365,91-180,3500+,good,striking
403,content_904e0e9b3406,client_3fdba35f04,75.28911944515761,random_forest,0.8148046526564788,0.5757603264438774,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,1670,2,51,34.0,0.12,165,104,1588.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,moderate,page_3_5
404,content_5af97d67f913,client_7f2253d7e2,75.27883268885172,random_forest,0.7769022375593444,0.6579743061388889,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,9954,7,10,5.2,0.07,168,20,4724.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_1
405,content_68f9f0f7c98e,client_19581e27de,75.268287176943,random_forest,0.686865652448676,0.8537044111111111,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,11985,7,16,5.9,0.06,144,104,0.0,down,LOW,keyword article,informational,91-180,91-180,unknown,good,page_1
406,content_83380dd90400,client_3fdba35f04,75.26103080257953,random_forest,0.8151635436353246,0.5741050544761904,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,701,1,17,7.1,0.14,165,104,1430.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,moderate,page_1
407,content_cfb1740609a1,client_7f2253d7e2,75.25418480105823,random_forest,0.7693408052726624,0.6736728788219956,high,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,12560,51,84,5.3,0.41,224,20,4266.0,down,LOW,keyword article,informational,181-365,0-30,3500+,good,page_1
408,content_b3e76ca33ba5,client_6208ef0f77,75.25223282922823,random_forest,0.7320657327426068,0.7547800717210884,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,8197,2,80,13.9,0.02,286,104,8696.0,down,LOW,keyword article,informational,181-365,91-180,3500+,good,striking
409,content_54f92ea426e9,client_7f2253d7e2,75.24329548697766,random_forest,0.8148039653833119,0.5743363452380953,medium,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,8156,3,9,22.0,0.04,147,20,3743.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
410,content_06378264a47d,client_3fdba35f04,75.24328492201161,random_forest,0.8207603068598647,0.56136585230839,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,596,0,20,5.7,0.0,174,104,1378.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,moderate,page_1
411,content_2fc8c474a51b,client_6208ef0f77,75.24231701688815,random_forest,0.7560420209380595,0.7022623174007937,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,6550,2,43,22.7,0.03,151,104,6579.0,down,LOW,keyword article,informational,91-180,91-180,3500+,good,page_3_5
412,content_3f75aadd21f4,client_3fdba35f04,75.23707890934503,random_forest,0.8037873665201459,0.5981320325708617,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,1003,2,13,11.7,0.2,165,104,1473.0,down,MEDIUM,keyword article,informational,91-180,91-180,1000-2000,moderate,striking
413,content_f55fd2d8ed04,client_4e07408562,75.23306857899759,random_forest,0.751200353459921,0.7125175382752268,medium,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2237,2,6,1.3,0.09,230,104,1604.0,down,LOW,keyword article,informational,181-365,91-180,1000-2000,moderate,top_3
414,content_66458ac1b739,client_8527a891e2,75.232684302059,random_forest,0.7246347876635906,0.7703531328163267,medium,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,6822,2,3,2.9,0.03,223,102,1506.0,down,LOW,keyword article,transactional,181-365,91-180,1000-2000,good,top_3
415,content_dd236a70cd61,client_7f2253d7e2,75.22845262348146,random_forest,0.7751164152219325,0.6602957956825398,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,19562,103,110,13.6,0.53,132,20,3471.0,down,LOW,keyword article,informational,91-180,0-30,2000-3500,good,striking
416,content_53d94816b5b0,client_7f2253d7e2,75.22265357004714,random_forest,0.7336583254541184,0.7503919967959184,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,6510,50,52,24.5,0.77,106,106,3028.0,down,LOW,keyword article,commercial,91-180,91-180,2000-3500,good,page_3_5
417,content_db3af57fb22d,client_3fdba35f04,75.22061270336829,random_forest,0.7503251226575272,0.714035913653628,medium,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2755,0,3,7.8,0.0,263,104,1345.0,down,LOW,keyword article,informational,181-365,91-180,1000-2000,moderate,page_1
418,content_2fbdc5dd2f88,client_6208ef0f77,75.219769937899,random_forest,0.7307490389466897,0.7566373777012471,high,refresh_and_review_engagement,low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,0,15143,2,41,21.2,0.01,287,104,6942.0,stable,LOW,keyword article,informational,181-365,91-180,3500+,good,page_3_5
419,content_78310daf8e50,client_7f2253d7e2,75.21864363769262,random_forest,0.8345536849232259,0.5305637037165533,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,8280,44,47,31.9,0.53,132,20,3994.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
420,content_708d39cf59f5,client_19581e27de,75.20844884247504,random_forest,0.6973787124864822,0.8289503829365079,high,refresh_and_review_ctr,low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,0,8435,5,15,6.0,0.06,144,104,0.0,up,LOW,keyword article,informational,91-180,91-180,unknown,good,page_1
421,content_2709b04eabd3,client_3fdba35f04,75.2074878750012,random_forest,0.7729287060937209,0.6644074520212585,medium,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,2872,2,5,21.9,0.07,309,104,1555.0,down,LOW,keyword article,transactional,181-365,91-180,1000-2000,moderate,page_3_5
422,content_67bcc6182101,client_6208ef0f77,75.2071788448613,random_forest,0.7388392035318428,0.738629051055839,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,6362,4,51,13.7,0.06,139,104,6115.0,down,LOW,keyword article,informational,91-180,91-180,3500+,good,striking
423,content_eb28cfe1c540,client_3fdba35f04,75.2059299006554,random_forest,0.7785664452063059,0.6520825917389456,medium,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,2717,6,9,24.2,0.22,131,104,1492.0,down,HIGH,keyword article,commercial,91-180,91-180,1000-2000,moderate,page_3_5
424,content_d9c30b1d8907,client_7f2253d7e2,75.20184566050783,random_forest,0.8327656093400866,0.5339347611870748,medium,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,18384,5,8,38.6,0.03,132,20,4473.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
425,content_f410d5929700,client_3fdba35f04,75.20136872367567,random_forest,0.8209854494003602,0.5595716793421202,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,627,0,13,8.1,0.0,174,104,1566.0,down,LOW,keyword article,transactional,91-180,91-180,1000-2000,moderate,page_1
426,content_f788586de53d,client_6208ef0f77,75.20033751831895,random_forest,0.7530033803505334,0.7075731894906462,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,3438,2,38,9.5,0.06,139,104,4866.0,down,LOW,keyword article,informational,91-180,91-180,3500+,good,page_1
427,content_8a918f6d5dec,client_7f2253d7e2,75.19642582734325,random_forest,0.7606730636462644,0.6907504733424037,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,18052,34,36,5.6,0.19,147,20,4292.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_1
428,content_321ecbe651a7,client_19581e27de,75.18639078334563,random_forest,0.685504452704775,0.8541208681462584,high,refresh_and_review_ctr,low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,0,26039,14,56,6.4,0.05,139,104,4321.0,stable,LOW,keyword article,informational,91-180,91-180,3500+,good,page_1
429,content_565c92d02525,client_3fdba35f04,75.18571079637948,random_forest,0.7746353145010059,0.660013811364796,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,2741,9,25,22.4,0.33,223,104,1426.0,down,HIGH,keyword article,commercial,181-365,91-180,1000-2000,moderate,page_3_5
430,content_dc9b33355050,client_3fdba35f04,75.18465637854158,random_forest,0.7931627469503479,0.6196368090555554,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,2242,1,30,28.3,0.04,333,104,1576.0,down,LOW,keyword article,informational,181-365,91-180,1000-2000,moderate,page_3_5
431,content_57853725de96,client_6208ef0f77,75.17643519991069,random_forest,0.7702954355489083,0.669175523446712,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2162,1,18,7.5,0.05,139,104,5592.0,down,LOW,keyword article,transactional,91-180,91-180,3500+,moderate,page_1
432,content_ac313f093729,client_3fdba35f04,75.17349251938097,random_forest,0.8078626712559782,0.5872798725544218,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,991,0,12,15.2,0.0,223,104,1465.0,down,HIGH,keyword article,commercial,181-365,91-180,1000-2000,moderate,striking
433,content_ab41b7f5e3cd,client_7f2253d7e2,75.1709790853415,random_forest,0.8221269293372528,0.5561407109285714,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,9693,7,14,27.6,0.07,141,20,4567.0,down,LOW,keyword article,transactional,91-180,0-30,3500+,good,page_3_5
434,content_111dcd1398da,client_6208ef0f77,75.16238513554437,random_forest,0.7259588019301816,0.7652831953514739,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,10907,3,74,15.6,0.03,286,104,6911.0,down,LOW,keyword article,informational,181-365,91-180,3500+,good,striking
